subtipo_rrlyrae,1,2,3,4,5,6
RRab,0.037089467723669306,0.41095696489241224,0.05889014722536806,0.29869762174405434,0.010192525481313703,0.18417327293318234
RRc,0.3233387358184765,0.0008103727714748784,0.008103727714748784,0.0004051863857374392,0.6458670988654781,0.02147487844408428
RRd,0.3867924528301887,0.0,0.33962264150943394,0.0,0.23270440251572327,0.040880503144654086
RRe,0.2191780821917808,0.00684931506849315,0.07534246575342465,0.0,0.678082191780822,0.02054794520547945
aRRd,0.0,0.0,0.75,0.0,0.25,0.0
