subtipo_rrlyrae,1,2,3,4,5,6
RRab,262,2903,416,2110,72,1301
RRc,798,2,20,1,1594,53
RRd,123,0,108,0,74,13
RRe,32,1,11,0,99,3
aRRd,0,0,3,0,1,0
