subtipo_rrlyrae,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6
RRab,0.04416813333455163,0.3967954780612887,0.06808437659562365,0.28149582079922053,0.02579500565071141,0.18366117558874276
RRc,0.3006015618853646,0.004849995839294438,0.022062487624680157,0.003261124294732457,0.6328650830658719,0.03635973734221167
RRd,0.3447778421280633,0.021212098209344013,0.30119316337345275,0.0055343672429744376,0.2726858646161552,0.05459665421992495
RRe,0.20983643132951296,0.015567608134971028,0.1498151230147104,0.003660347080582021,0.5879319295651146,0.03318855012052609
aRRd,0.0,0.056595125274627046,0.6200085607576509,0.0,0.3233963033322184,0.0
