arquetipo_dominante,n_estrellas,subtipo_mayoritario,pureza,pct_RRab,n_RRab,pct_RRc,n_RRc,pct_RRd,n_RRd,pct_RRe,n_RRe,pct_aRRd,n_aRRd
1,1215,RRc,0.6567901234567901,0.21563786008230454,262,0.6567901234567901,798,0.10123456790123457,123,0.02633744855967078,32,0.0,0
2,2906,RRab,0.9989676531314522,0.9989676531314522,2903,0.0006882312456985547,2,0.0,0,0.00034411562284927734,1,0.0,0
3,558,RRab,0.7455197132616488,0.7455197132616488,416,0.035842293906810034,20,0.1935483870967742,108,0.01971326164874552,11,0.005376344086021506,3
4,2111,RRab,0.9995262908574135,0.9995262908574135,2110,0.0004737091425864519,1,0.0,0,0.0,0,0.0,0
5,1840,RRc,0.866304347826087,0.0391304347826087,72,0.866304347826087,1594,0.04021739130434782,74,0.05380434782608696,99,0.0005434782608695652,1
6,1370,RRab,0.9496350364963504,0.9496350364963504,1301,0.03868613138686131,53,0.00948905109489051,13,0.0021897810218978104,3,0.0,0
