experiment_id,modelo,ruta_experimento,artefactos_disponibles,puede_calcular_purity,puede_calcular_silhouette,puede_calcular_davies_bouldin,requiere_reentrenamiento,motivo
DD90FF2C11,AA,resultados\experimentos\AA_DD90FF2C11_rrlyrae_percentiles_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
DCE2B2FA5E,AA,resultados\experimentos\AA_DCE2B2FA5E_rrlyrae_percentiles_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
6FD47D54C3,AA,resultados\experimentos\AA_6FD47D54C3_rrlyrae_percentiles_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
4353D6ACC8,AA,resultados\experimentos\AA_4353D6ACC8_rrlyrae_percentiles_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
62E644FCFE,AA,resultados\experimentos\AA_62E644FCFE_rrlyrae_percentiles_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
952CFD05CE,AA,resultados\experimentos\AA_952CFD05CE_rrlyrae_percentiles_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
E5B94732CF,AA,resultados\experimentos\AA_E5B94732CF_rrlyrae_percentiles_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
6AB844BEA5,AA,resultados\experimentos\AA_6AB844BEA5_rrlyrae_percentiles_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
E79FB8B8A9,AA,resultados\experimentos\AA_E79FB8B8A9_rrlyrae_percentiles_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
96431B1718,AA,resultados\experimentos\AA_96431B1718_rrlyrae_percentiles_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
A5921DB217,AA,resultados\experimentos\AA_A5921DB217_rrlyrae_interpolacion_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
7E3B509073,AA,resultados\experimentos\AA_7E3B509073_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
A224BC5787,AA,resultados\experimentos\AA_A224BC5787_rrlyrae_interpolacion_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
A8340928F6,AA,resultados\experimentos\AA_A8340928F6_rrlyrae_interpolacion_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
8B591E7475,AA,resultados\experimentos\AA_8B591E7475_rrlyrae_interpolacion_50_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
93D0C5A461,AA,resultados\experimentos\AA_93D0C5A461_rrlyrae_interpolacion_50_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
67C8AE7841,AA,resultados\experimentos\AA_67C8AE7841_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
2ECEE51D13,AA,resultados\experimentos\AA_2ECEE51D13_rrlyrae_interpolacion_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
B10EE10BCE,AA,resultados\experimentos\AA_B10EE10BCE_rrlyrae_interpolacion_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
AE193C10F6,AA,resultados\experimentos\AA_AE193C10F6_rrlyrae_interpolacion_50_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
17F3E583C7,AA,resultados\experimentos\AA_17F3E583C7_rrlyrae_interpolacion_50_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
75CE0E8EAC,AA,resultados\experimentos\AA_75CE0E8EAC_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
974B35B872,AA,resultados\experimentos\AA_974B35B872_rrlyrae_interpolacion_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
0B0764A136,AA,resultados\experimentos\AA_0B0764A136_rrlyrae_interpolacion_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
94F4D1EF0F,AA,resultados\experimentos\AA_94F4D1EF0F_rrlyrae_interpolacion_50_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
C5CD6B2D56,AA,resultados\experimentos\AA_C5CD6B2D56_rrlyrae_interpolacion_50_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
4D0E74FDF2,AA,resultados\experimentos\AA_4D0E74FDF2_rrlyrae_interpolacion_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
11E6C6F669,AA,resultados\experimentos\AA_11E6C6F669_rrlyrae_interpolacion_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
121E19A161,AA,resultados\experimentos\AA_121E19A161_rrlyrae_interpolacion_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
43F0825092,AA,resultados\experimentos\AA_43F0825092_rrlyrae_interpolacion_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
73E569F2AF,AA,resultados\experimentos\AA_73E569F2AF_rrlyrae_interpolacion_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
7FD3B2AA37,AA,resultados\experimentos\AA_7FD3B2AA37_rrlyrae_interpolacion_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
D57F5EAD89,AA,resultados\experimentos\AA_D57F5EAD89_rrlyrae_interpolacion_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
D836880BA0,AA,resultados\experimentos\AA_D836880BA0_rrlyrae_interpolacion_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
797C0C17CF,AA,resultados\experimentos\AA_797C0C17CF_rrlyrae_interpolacion_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
31CC3FBF34,AA,resultados\experimentos\AA_31CC3FBF34_rrlyrae_interpolacion_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
3C26F0D4D3,AA,resultados\experimentos\AA_3C26F0D4D3_rrlyrae_interpolacion_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
DC234BC04B,AA,resultados\experimentos\AA_DC234BC04B_rrlyrae_interpolacion_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
CBD1F43C3E,AA,resultados\experimentos\AA_CBD1F43C3E_rrlyrae_interpolacion_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
826034E99D,AA,resultados\experimentos\AA_826034E99D_rrlyrae_interpolacion_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
5FC93DA648,AA,resultados\experimentos\AA_5FC93DA648_rrlyrae_interpolacion_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
B49A28D815,AA,resultados\experimentos\AA_B49A28D815_rrlyrae_percentiles_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
3738C03D51,AA,resultados\experimentos\AA_3738C03D51_rrlyrae_percentiles_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
DC72B00BFA,AA,resultados\experimentos\AA_DC72B00BFA_rrlyrae_percentiles_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
869EB575F1,AA,resultados\experimentos\AA_869EB575F1_rrlyrae_percentiles_50_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
FF68520B66,AA,resultados\experimentos\AA_FF68520B66_rrlyrae_percentiles_50_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
A5FE0B47A5,AA,resultados\experimentos\AA_A5FE0B47A5_rrlyrae_percentiles_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
