experiment_id,modelo,dataset,discretizacion,n_puntos,normalizacion,inicializacion,optimizacion,K,purity,davies_bouldin,silhouette,n_muestras,estado_metricas,experimento_final
E5B94732CF,AA,rrlyrae,percentiles,100,minmax,random,nnls,4,0.895,1.7327474269059184,0.273546855110789,1000.0,OK_full,False
6AB844BEA5,AA,rrlyrae,percentiles,100,minmax,random,nnls,6,0.873,1.8626309483241668,0.209313559031443,1000.0,OK_full,False
E79FB8B8A9,AA,rrlyrae,percentiles,100,minmax,random,nnls,8,0.904,2.1317109101693257,0.15919229241112542,1000.0,OK_full,False
96431B1718,AA,rrlyrae,percentiles,100,minmax,random,nnls,10,0.879,2.6042175145053843,0.18057464405632068,1000.0,OK_full,False
A5921DB217,AA,rrlyrae,interpolacion,50,zscore,pca,robust_pgd,4,0.865,1.2298383518405864,0.35698367711104906,200.0,OK_full,False
7E3B509073,AA,rrlyrae,interpolacion,50,zscore,random,robust_pgd,3,0.759,2.584712476551055,0.08014342881985925,1000.0,OK_full,False
A224BC5787,AA,rrlyrae,interpolacion,50,zscore,random,robust_pgd,4,0.706,2.1471344593978703,0.0921349139659064,1000.0,OK_full,False
A8340928F6,AA,rrlyrae,interpolacion,50,zscore,random,robust_pgd,6,0.773,2.0492733197939215,0.09021511673407454,1000.0,OK_full,False
8B591E7475,AA,rrlyrae,interpolacion,50,zscore,random,robust_pgd,8,0.807,2.359945860575745,0.026892257401914196,1000.0,OK_full,False
93D0C5A461,AA,rrlyrae,interpolacion,50,zscore,random,robust_pgd,10,0.85,1.5914049845693017,0.1560179357825911,1000.0,OK_full,False
67C8AE7841,AA,rrlyrae,interpolacion,50,zscore,pca,robust_pgd,3,0.842,1.362618288163661,0.33399976838336076,1000.0,OK_full,False
2ECEE51D13,AA,rrlyrae,interpolacion,50,zscore,pca,robust_pgd,4,0.756,1.8143144408236027,0.11456731806031337,1000.0,OK_full,False
B10EE10BCE,AA,rrlyrae,interpolacion,50,zscore,pca,robust_pgd,6,0.838,1.3237589711157591,0.31273691702265005,1000.0,OK_full,False
AE193C10F6,AA,rrlyrae,interpolacion,50,zscore,pca,robust_pgd,8,0.86,1.4920786936555297,0.2134239778810002,1000.0,OK_full,False
17F3E583C7,AA,rrlyrae,interpolacion,50,zscore,pca,robust_pgd,10,0.853,1.6868388161244734,0.15423969314224384,1000.0,OK_full,False
75CE0E8EAC,AA,rrlyrae,interpolacion,50,zscore,furthest_sum,robust_pgd,3,0.69,1.7552863893510224,0.2947596288312402,1000.0,OK_full,False
974B35B872,AA,rrlyrae,interpolacion,50,zscore,furthest_sum,robust_pgd,4,0.689,1.3990419311585827,0.26846535900632057,1000.0,OK_full,False
0B0764A136,AA,rrlyrae,interpolacion,50,zscore,furthest_sum,robust_pgd,6,0.858,0.9701175034626989,0.36902852969125066,1000.0,OK_full,False
94F4D1EF0F,AA,rrlyrae,interpolacion,50,zscore,furthest_sum,robust_pgd,8,0.854,1.388909494609386,0.20542720096443345,1000.0,OK_full,False
C5CD6B2D56,AA,rrlyrae,interpolacion,50,zscore,furthest_sum,robust_pgd,10,0.867,1.3216031880726686,0.2405964246212929,1000.0,OK_full,False
4D0E74FDF2,AA,rrlyrae,interpolacion,100,zscore,random,robust_pgd,3,0.809,2.2227870082736736,0.10629020871638342,1000.0,OK_full,False
11E6C6F669,AA,rrlyrae,interpolacion,100,zscore,random,robust_pgd,4,0.751,2.120535879206836,0.10482900769867881,1000.0,OK_full,False
121E19A161,AA,rrlyrae,interpolacion,100,zscore,random,robust_pgd,6,0.804,1.9443762887612854,0.09775436697732677,1000.0,OK_full,False
43F0825092,AA,rrlyrae,interpolacion,100,zscore,random,robust_pgd,8,0.81,2.271271055656957,0.037181074186111426,1000.0,OK_full,False
73E569F2AF,AA,rrlyrae,interpolacion,100,zscore,random,robust_pgd,10,0.872,2.2451247832015016,0.05365086804381921,1000.0,OK_full,False
7FD3B2AA37,AA,rrlyrae,interpolacion,100,zscore,pca,robust_pgd,3,0.862,1.2470086096044355,0.3497214578655994,1000.0,OK_full,False
D57F5EAD89,AA,rrlyrae,interpolacion,100,zscore,pca,robust_pgd,4,0.804,1.8744072367289752,0.15415200006860647,1000.0,OK_full,False
D836880BA0,AA,rrlyrae,interpolacion,100,zscore,pca,robust_pgd,6,0.867,1.2744600247691653,0.24602558694477902,1000.0,OK_full,False
797C0C17CF,AA,rrlyrae,interpolacion,100,zscore,pca,robust_pgd,8,0.869,1.2034205693068656,0.2531644316326698,1000.0,OK_full,False
31CC3FBF34,AA,rrlyrae,interpolacion,100,zscore,pca,robust_pgd,10,0.873,1.6389348586623425,0.14321707578174198,1000.0,OK_full,False
3C26F0D4D3,AA,rrlyrae,interpolacion,100,zscore,furthest_sum,robust_pgd,3,0.695,1.8717362187816284,0.3016695656252331,1000.0,OK_full,False
DC234BC04B,AA,rrlyrae,interpolacion,100,zscore,furthest_sum,robust_pgd,4,0.692,1.4825108598098766,0.2778863979789039,1000.0,OK_full,False
CBD1F43C3E,AA,rrlyrae,interpolacion,100,zscore,furthest_sum,robust_pgd,6,0.88,0.8778603905515109,0.3792947977289159,1000.0,OK_full,False
826034E99D,AA,rrlyrae,interpolacion,100,zscore,furthest_sum,robust_pgd,8,0.879,1.0164580077623522,0.3116698622410719,1000.0,OK_full,False
5FC93DA648,AA,rrlyrae,interpolacion,100,zscore,furthest_sum,robust_pgd,10,0.881,1.3519363689814012,0.2903067451859969,1000.0,OK_full,False
B49A28D815,AA,rrlyrae,percentiles,50,zscore,random,robust_pgd,3,0.874,1.1093923698616948,0.3405297117685515,1000.0,OK_full,False
3738C03D51,AA,rrlyrae,percentiles,50,zscore,random,robust_pgd,4,0.875,2.9892013533707895,0.23723639347578115,1000.0,OK_full,False
DC72B00BFA,AA,rrlyrae,percentiles,50,zscore,random,robust_pgd,6,0.884,2.286606913275893,0.285089059792086,1000.0,OK_full,False
869EB575F1,AA,rrlyrae,percentiles,50,zscore,random,robust_pgd,8,0.881,2.4837527107409265,0.15339322433435282,1000.0,OK_full,False
FF68520B66,AA,rrlyrae,percentiles,50,zscore,random,robust_pgd,10,0.868,2.059479701653927,0.22906905492621737,1000.0,OK_full,False
A5FE0B47A5,AA,rrlyrae,percentiles,50,zscore,pca,robust_pgd,3,0.888,0.9378267095145877,0.4262966448985387,1000.0,OK_full,False
04ED5E1065,AA,rrlyrae,percentiles,50,zscore,pca,robust_pgd,4,0.873,1.112252700680549,0.3245029921307651,1000.0,OK_full,False
68A6704FB5,AA,rrlyrae,percentiles,50,zscore,pca,robust_pgd,6,0.907,1.3503137860810226,0.21214373621759228,1000.0,OK_full,False
858C6A101F,AA,rrlyrae,percentiles,50,zscore,pca,robust_pgd,8,0.913,1.9466800776624211,0.15821213632891248,1000.0,OK_full,False
094A37D07F,AA,rrlyrae,percentiles,50,zscore,pca,robust_pgd,10,0.913,1.903066164812519,0.15670301481867896,1000.0,OK_full,False
D9CDFAB48F,AA,rrlyrae,percentiles,50,zscore,furthest_sum,robust_pgd,3,0.685,1.8607513088127732,0.22236961183038959,1000.0,OK_full,False
B7522AB659,AA,rrlyrae,percentiles,50,zscore,furthest_sum,robust_pgd,4,0.87,1.1111531411124687,0.32282121571062294,1000.0,OK_full,False
E7EEDD570A,AA,rrlyrae,percentiles,50,zscore,furthest_sum,robust_pgd,6,0.9,1.753725511657158,0.2294272235335467,1000.0,OK_full,False
D56D2F00B9,AA,rrlyrae,percentiles,50,zscore,furthest_sum,robust_pgd,8,0.911,1.7364172153849111,0.19726011841740115,1000.0,OK_full,False
58B4F6DAC6,AA,rrlyrae,percentiles,50,zscore,furthest_sum,robust_pgd,10,0.908,1.8438351226659084,0.13719649666899358,1000.0,OK_full,False
A1BA2B3A60,AA,rrlyrae,percentiles,100,zscore,random,robust_pgd,3,0.888,1.1333466852106728,0.34620119955765283,1000.0,OK_full,False
133BD67046,AA,rrlyrae,percentiles,100,zscore,random,robust_pgd,4,0.884,2.6977065283421373,0.2375362116342061,1000.0,OK_full,False
D257149130,AA,rrlyrae,percentiles,100,zscore,random,robust_pgd,6,0.889,1.7748533427904534,0.27664913947956365,1000.0,OK_full,False
2228511C11,AA,rrlyrae,percentiles,100,zscore,random,robust_pgd,8,0.882,2.0144462769549465,0.1694654080564378,1000.0,OK_full,False
6C5343FEF6,AA,rrlyrae,percentiles,100,zscore,random,robust_pgd,10,0.864,1.8919765952409922,0.20744703805585557,1000.0,OK_full,False
E66CE911A5,AA,rrlyrae,percentiles,100,zscore,pca,robust_pgd,3,0.889,1.0821825011968373,0.3748961409514044,1000.0,OK_full,False
807F68C2DD,AA,rrlyrae,percentiles,100,zscore,pca,robust_pgd,4,0.88,1.719230008060924,0.3544999273766779,1000.0,OK_full,False
E926337EBD,AA,rrlyrae,percentiles,100,zscore,pca,robust_pgd,6,0.905,1.6578329939132388,0.1694033984399136,1000.0,OK_full,False
475C29A2AB,AA,rrlyrae,percentiles,100,zscore,pca,robust_pgd,8,0.911,2.0326729206203513,0.1595458119680839,1000.0,OK_full,False
2C0F08E6F7,AA,rrlyrae,percentiles,100,zscore,pca,robust_pgd,10,0.919,2.339871782640272,0.09348334073495315,1000.0,OK_full,False
5364141478,AA,rrlyrae,percentiles,100,zscore,furthest_sum,robust_pgd,3,0.685,1.5792188831524638,0.12079545734231562,1000.0,OK_full,False
18CF736C44,AA,rrlyrae,percentiles,100,zscore,furthest_sum,robust_pgd,4,0.685,2.1564930967555425,0.10298066541914738,1000.0,OK_full,False
CF13F398EC,AA,rrlyrae,percentiles,100,zscore,furthest_sum,robust_pgd,6,0.909,2.286283545297956,0.16378862045621076,1000.0,OK_full,False
C9DAC0ED18,AA,rrlyrae,percentiles,100,zscore,furthest_sum,robust_pgd,8,0.909,2.0667593514038103,0.1310018904808544,1000.0,OK_full,False
EB77060172,AA,rrlyrae,percentiles,100,zscore,furthest_sum,robust_pgd,10,0.901,1.8647504899480463,0.1336513061417939,1000.0,OK_full,False
2ECEE51D13,AA,rrlyrae,interpolacion,50,zscore,pca,robust_pgd,4,0.86,1.139581931125561,0.3491139954736987,1000.0,OK_full,False
1C81EFFA74,AA,rrlyrae,percentiles,50,minmax,random,nnls,6,0.905,1.5060492438443005,0.2155714355877085,5000.0,OK_full,False
B3A54AF9EE,AA,rrlyrae,percentiles,50,minmax,random,nnls,6,0.9122,1.497712979688071,0.2163635107989192,10000.0,OK_full,False
6A36935464,AA,rrlyrae,percentiles,50,minmax,random,nnls,6,0.9133257684148207,1.5044338170290699,0.2245800671228097,,OK_sample_10000,True
0A76EB037A,KMEANS,rrlyrae,percentiles,50,minmax,kmeans++,kmeans,6,0.9137500616705313,1.388403436807091,0.247553102791009,,OK_sample_10000,False
9E840A67C6,ADA,rrlyrae,percentiles,50,minmax,kmeans++_nearest_observation,ada_nnls_simplex,6,0.9133159011298041,1.5030190690487064,0.22305057845287438,,OK_sample_10000,False
