experiment_id,fecha,dataset,discretizacion,n_puntos,normalizacion,suavizado,inicializacion,optimizacion,K,n_muestras,n_train,n_test,seed,error_rel_train,error_rel_test,error_fro_train,error_fro_test,gap_generalizacion,tiempo_segundos,ruta_experimento
976A5A2DA6,2026-07-05T15:57:17,rrlyrae,percentiles,50,minmax,none,random,nnls,6,1000,800,200,42,0.1275688009936998,0.1306618095045709,15.454400826434746,7.8687130335698035,0.0030930085108711,2.271658700017724,resultados\validacion_80_20\AA_976A5A2DA6_rrlyrae_percentiles_50_K6
689CE7D6B7,2026-07-05T15:57:38,rrlyrae,percentiles,50,minmax,none,random,nnls,8,1000,800,200,42,0.13011598167758523,0.13285708459508838,15.762980596405782,8.00091684876663,0.002741102917503152,1.2453965000167955,resultados\validacion_80_20\AA_689CE7D6B7_rrlyrae_percentiles_50_K8
