subtipo_rrlyrae,1,2,3,4,5,6
RRab,0.03834226106568932,0.18071609811107978,0.05441217930645616,0.42571186918522697,0.28841274316323656,0.01240484916831125
RRc,0.3241206030150754,0.022613065326633167,0.006700167504187605,0.0,0.0008375209380234506,0.6457286432160804
RRd,0.32558139534883723,0.05813953488372093,0.37209302325581395,0.0,0.0,0.2441860465116279
RRe,0.2261904761904762,0.023809523809523808,0.08333333333333333,0.011904761904761904,0.0,0.6547619047619048
aRRd,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
