subtipo_rrlyrae,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6
RRab,0.045340881252055244,0.18093012218482568,0.06657249747361436,0.405713717848146,0.2742322907214637,0.02721048054772308
RRc,0.30620597988766396,0.03567479703953857,0.020652037639114967,0.003003465652285015,0.003997855756637727,0.6304658540817704
RRd,0.3036958169471992,0.06415515028846457,0.3245426554614557,0.023586763529775515,0.00915993709216178,0.27485966653775523
RRe,0.19706238018030486,0.03871951972953986,0.17090814172395521,0.01865622333160684,0.0030846683198953334,0.5715690559637571
aRRd,0.0,0.0,0.6509389875915086,0.06635667444343102,0.0,0.2827043274004983
