subtipo_rrlyrae,1,2,3,4,5,6
RRab,136,641,193,1510,1023,44
RRc,387,27,8,0,1,771
RRd,56,10,64,0,0,42
RRe,19,2,7,1,0,55
aRRd,0,0,2,0,0,1
