arquetipo_dominante,n_estrellas,subtipo_mayoritario,pureza,pct_RRab,n_RRab,pct_RRc,n_RRc,pct_RRd,n_RRd,pct_RRe,n_RRe,pct_aRRd,n_aRRd
1,598,RRc,0.6471571906354515,0.22742474916387959,136,0.6471571906354515,387,0.09364548494983277,56,0.03177257525083612,19,0.0,0
2,680,RRab,0.9426470588235294,0.9426470588235294,641,0.039705882352941174,27,0.014705882352941176,10,0.0029411764705882353,2,0.0,0
3,274,RRab,0.7043795620437956,0.7043795620437956,193,0.029197080291970802,8,0.23357664233576642,64,0.025547445255474453,7,0.0072992700729927005,2
4,1511,RRab,0.99933818663137,0.99933818663137,1510,0.0,0,0.0,0,0.0006618133686300463,1,0.0,0
5,1024,RRab,0.9990234375,0.9990234375,1023,0.0009765625,1,0.0,0,0.0,0,0.0,0
6,913,RRc,0.8444687842278203,0.04819277108433735,44,0.8444687842278203,771,0.04600219058050383,42,0.060240963855421686,55,0.001095290251916758,1
