subtipo_rrlyrae,1,2,3,4,5,6
RRab,0.3543917364818713,0.04075999832722305,0.1118251390495839,0.2962069782678395,0.1917141781786247,0.005101969694857605
RRc,0.00016032064128256512,0.4705811623246493,0.005450901803607215,0.00036072144288577156,0.025811623246492985,0.49763527054108214
RRd,0.0,0.618638871857756,0.19589209074187616,0.002145922746781116,0.07725321888412018,0.10606989576946659
RRe,0.0,0.384159881569208,0.025166543301258327,0.0014803849000740192,0.02220577350111029,0.5669874167283494
aRRd,0.0,0.26666666666666666,0.3333333333333333,0.0,0.13333333333333333,0.26666666666666666
