cluster,n_estrellas,subtipo_mayoritario,pureza,pct_RRab,n_RRab,pct_RRc,n_RRc,pct_RRd,n_RRd,pct_RRe,n_RRe,pct_aRRd,n_aRRd
1,25427,RRab,0.9998426869076179,0.9998426869076179,25423,0.0001573130923821135,4,0.0,0,0.0,0,0.0,0
2,17214,RRc,0.6820611130475195,0.1698617404438248,2924,0.6820611130475195,11741,0.11723016149645638,2018,0.030149878006273962,519,0.0006971070059254096,12
3,8846,RRab,0.9068505539226769,0.9068505539226769,8022,0.015374180420529052,136,0.07223603888763283,639,0.003843545105132263,34,0.0016956816640289396,15
4,21267,RRab,0.9991536182818451,0.9991536182818451,21249,0.00042319085907744394,9,0.00032914844594912303,7,9.404241312832088e-05,2,0.0,0
5,14685,RRab,0.9365338781069118,0.9365338781069118,13753,0.043854273067756216,644,0.017160367722165476,252,0.0020429009193054137,30,0.00040858018386108274,6
6,13906,RRc,0.8928520063282036,0.02631957428448152,366,0.8928520063282036,12416,0.024881346181504387,346,0.05508413634402416,766,0.0008629368617862793,12
