subtipo_rrlyrae,1,2,3,4,5,6
RRab,25423,2924,8022,21249,13753,366
RRc,4,11741,136,9,644,12416
RRd,0,2018,639,7,252,346
RRe,0,519,34,2,30,766
aRRd,0,12,15,0,6,12
