dataset,discretizacion,n_puntos,normalizacion,suavizado,inicializacion,optimizacion,K,error_rel,error_fro,convergio,iteraciones_reales,tiempo_segundos,ruta_experimento
rrlyrae,percentiles,50,zscore,savgol,furthest_sum,robust_pgd,3,0.5692660871217032,125.85233786470064,False,100,76.00966750000953,resultados\experimentos\AA_D9CDFAB48F_rrlyrae_percentiles_50_K3
rrlyrae,percentiles,50,zscore,savgol,furthest_sum,robust_pgd,4,0.1603920264312122,35.459185006588,False,100,79.72540769999614,resultados\experimentos\AA_B7522AB659_rrlyrae_percentiles_50_K4
rrlyrae,percentiles,50,zscore,savgol,furthest_sum,robust_pgd,6,0.1498880311299279,33.13698033729098,False,100,65.14062159998866,resultados\experimentos\AA_E7EEDD570A_rrlyrae_percentiles_50_K6
rrlyrae,percentiles,50,zscore,savgol,furthest_sum,robust_pgd,8,0.1436705091466575,31.76242159398672,False,100,81.94199419999495,resultados\experimentos\AA_D56D2F00B9_rrlyrae_percentiles_50_K8
rrlyrae,percentiles,50,zscore,savgol,furthest_sum,robust_pgd,10,0.1397948019020444,30.90558710366964,False,100,85.73203529999591,resultados\experimentos\AA_58B4F6DAC6_rrlyrae_percentiles_50_K10
rrlyrae,percentiles,50,zscore,savgol,pca,robust_pgd,3,0.1795169672446398,39.68729303435344,True,44,36.8374565999984,resultados\experimentos\AA_A5FE0B47A5_rrlyrae_percentiles_50_K3
rrlyrae,percentiles,50,zscore,savgol,pca,robust_pgd,4,0.1604222160747252,35.46585927948316,False,100,62.47133060000488,resultados\experimentos\AA_04ED5E1065_rrlyrae_percentiles_50_K4
rrlyrae,percentiles,50,zscore,savgol,pca,robust_pgd,6,0.1483586210446431,32.79886106558071,False,100,79.65547910000896,resultados\experimentos\AA_68A6704FB5_rrlyrae_percentiles_50_K6
rrlyrae,percentiles,50,zscore,savgol,pca,robust_pgd,8,0.1434645420410178,31.71688675122269,False,100,79.9414012000052,resultados\experimentos\AA_858C6A101F_rrlyrae_percentiles_50_K8
rrlyrae,percentiles,50,zscore,savgol,pca,robust_pgd,10,0.1398789376818024,30.92418769277929,False,100,81.12926050000533,resultados\experimentos\AA_094A37D07F_rrlyrae_percentiles_50_K10
rrlyrae,percentiles,50,zscore,savgol,random,robust_pgd,3,0.4433145657182829,98.00719868491409,False,100,72.43043760000728,resultados\experimentos\AA_B49A28D815_rrlyrae_percentiles_50_K3
rrlyrae,percentiles,50,zscore,savgol,random,robust_pgd,4,0.4431343656429569,97.96736037155549,False,100,85.35222010000143,resultados\experimentos\AA_3738C03D51_rrlyrae_percentiles_50_K4
rrlyrae,percentiles,50,zscore,savgol,random,robust_pgd,6,0.4414354344122719,97.59176366539276,False,100,86.36070689999906,resultados\experimentos\AA_DC72B00BFA_rrlyrae_percentiles_50_K6
rrlyrae,percentiles,50,zscore,savgol,random,robust_pgd,8,0.4413505057607604,97.5729877896007,False,100,79.11727899999823,resultados\experimentos\AA_869EB575F1_rrlyrae_percentiles_50_K8
rrlyrae,percentiles,50,zscore,savgol,random,robust_pgd,10,0.4377901889310171,96.78587925336632,False,100,64.49692009999126,resultados\experimentos\AA_FF68520B66_rrlyrae_percentiles_50_K10
rrlyrae,percentiles,100,zscore,savgol,furthest_sum,robust_pgd,3,0.5719832402480477,177.56714143065548,True,75,62.52589779999107,resultados\experimentos\AA_5364141478_rrlyrae_percentiles_100_K3
rrlyrae,percentiles,100,zscore,savgol,furthest_sum,robust_pgd,4,0.5709032007204933,177.23185270531312,False,100,80.46076239999093,resultados\experimentos\AA_18CF736C44_rrlyrae_percentiles_100_K4
rrlyrae,percentiles,100,zscore,savgol,furthest_sum,robust_pgd,6,0.2094905759791292,65.03449771910076,False,100,71.06694750000315,resultados\experimentos\AA_CF13F398EC_rrlyrae_percentiles_100_K6
rrlyrae,percentiles,100,zscore,savgol,furthest_sum,robust_pgd,8,0.1929391798118655,59.896263069370825,False,100,65.63477910000074,resultados\experimentos\AA_C9DAC0ED18_rrlyrae_percentiles_100_K8
rrlyrae,percentiles,100,zscore,savgol,furthest_sum,robust_pgd,10,0.191858701307872,59.56083806767288,False,100,80.97811470000306,resultados\experimentos\AA_EB77060172_rrlyrae_percentiles_100_K10
rrlyrae,percentiles,100,zscore,savgol,pca,robust_pgd,3,0.223296991120776,69.32057727108901,True,34,25.381100600003265,resultados\experimentos\AA_E66CE911A5_rrlyrae_percentiles_100_K3
rrlyrae,percentiles,100,zscore,savgol,pca,robust_pgd,4,0.2257408173175231,70.07924151398107,True,91,57.79451439999684,resultados\experimentos\AA_807F68C2DD_rrlyrae_percentiles_100_K4
rrlyrae,percentiles,100,zscore,savgol,pca,robust_pgd,6,0.1982691835581858,61.55091562289379,False,100,85.02222210000036,resultados\experimentos\AA_E926337EBD_rrlyrae_percentiles_100_K6
rrlyrae,percentiles,100,zscore,savgol,pca,robust_pgd,8,0.1937750939246719,60.15576521742013,False,100,77.74731000000611,resultados\experimentos\AA_475C29A2AB_rrlyrae_percentiles_100_K8
rrlyrae,percentiles,100,zscore,savgol,pca,robust_pgd,10,0.1910428108136195,59.30755207502381,False,100,77.8632995999942,resultados\experimentos\AA_2C0F08E6F7_rrlyrae_percentiles_100_K10
rrlyrae,percentiles,100,zscore,savgol,random,robust_pgd,3,0.4594844431033409,142.6428841836951,False,100,70.87484639999457,resultados\experimentos\AA_A1BA2B3A60_rrlyrae_percentiles_100_K3
rrlyrae,percentiles,100,zscore,savgol,random,robust_pgd,4,0.4593993459975345,142.6164665393328,False,100,80.3567047999968,resultados\experimentos\AA_133BD67046_rrlyrae_percentiles_100_K4
rrlyrae,percentiles,100,zscore,savgol,random,robust_pgd,6,0.4578221746232959,142.12684762611366,False,100,77.06270169999334,resultados\experimentos\AA_D257149130_rrlyrae_percentiles_100_K6
rrlyrae,percentiles,100,zscore,savgol,random,robust_pgd,8,0.4578534716700577,142.13656351766025,False,100,69.18988119999995,resultados\experimentos\AA_2228511C11_rrlyrae_percentiles_100_K8
rrlyrae,percentiles,100,zscore,savgol,random,robust_pgd,10,0.4544646111183423,141.08452171200477,False,100,67.61662240000442,resultados\experimentos\AA_6C5343FEF6_rrlyrae_percentiles_100_K10
