subtipo_rrlyrae,1,2,3,4,5,6
RRab,28675,2586,6205,19827,13833,611
RRc,35,11143,61,11,823,12877
RRd,122,1720,412,8,265,735
RRe,13,316,31,1,27,963
aRRd,11,6,7,0,2,19
