arquetipoide,n_estrellas,subtipo_mayoritario,pureza,pct_RRab,n_RRab,pct_RRc,n_RRc,pct_RRd,n_RRd,pct_RRe,n_RRe,pct_aRRd,n_aRRd
1,28856,RRab,0.99372747435542,0.99372747435542,28675,0.001212919323537566,35,0.004227890213473801,122,0.00045051289159966733,13,0.00038120321596894926,11
2,15771,RRc,0.7065499968296239,0.16397184706106144,2586,0.7065499968296239,11143,0.10906093462684674,1720,0.020036776361676494,316,0.00038044512079132587,6
3,6716,RRab,0.9239130434782609,0.9239130434782609,6205,0.00908278737343657,61,0.06134603930911257,412,0.004615842763549732,31,0.001042287075640262,7
4,19847,RRab,0.9989922910263516,0.9989922910263516,19827,0.0005542399355066257,11,0.0004030835894593641,8,5.0385448682420515e-05,1,0.0,0
5,14950,RRab,0.9252842809364549,0.9252842809364549,13833,0.055050167224080265,823,0.017725752508361205,265,0.001806020066889632,27,0.00013377926421404682,2
6,15205,RRc,0.8468924695823742,0.04018414995067412,611,0.8468924695823742,12877,0.048339362051956596,735,0.0633344294639921,963,0.0012495889510029596,19
