subtipo_rrlyrae,1,2,3,4,5,6
RRab,0.39972399180339296,0.03604834325382996,0.08649650807811868,0.27638457142060585,0.19282936281138047,0.008517222632672121
RRc,0.0014028056112224449,0.4466132264529058,0.002444889779559118,0.0004408817635270541,0.032985971943887776,0.5161122244488978
RRd,0.03740036787247088,0.5272838749233599,0.12630288166768852,0.002452483139178418,0.08123850398528511,0.22532188841201717
RRe,0.009622501850481125,0.23390081421169504,0.0229459659511473,0.0007401924500370096,0.01998519615099926,0.7128053293856402
aRRd,0.24444444444444444,0.13333333333333333,0.15555555555555556,0.0,0.044444444444444446,0.4222222222222222
