subtipo_rrlyrae,1,2,3,4,5,6
RRab,341,36,220,18,60,10
RRc,0,0,2,3,53,206
RRd,0,0,1,18,7,7
RRe,0,0,0,1,0,16
aRRd,0,0,0,0,0,1
