arquetipo_dominante,n_estrellas,subtipo_mayoritario,pureza,pct_RRab,n_RRab,pct_RRc,n_RRc,pct_RRd,n_RRd,pct_RRe,n_RRe,pct_aRRd,n_aRRd
1,341,RRab,1.0,1.0,341,0.0,0,0.0,0,0.0,0,0.0,0
2,36,RRab,1.0,1.0,36,0.0,0,0.0,0,0.0,0,0.0,0
3,223,RRab,0.9865470852017937,0.9865470852017937,220,0.008968609865470852,2,0.004484304932735426,1,0.0,0,0.0,0
4,40,RRab,0.45,0.45,18,0.075,3,0.45,18,0.025,1,0.0,0
5,120,RRab,0.5,0.5,60,0.44166666666666665,53,0.058333333333333334,7,0.0,0,0.0,0
6,240,RRc,0.8583333333333333,0.041666666666666664,10,0.8583333333333333,206,0.029166666666666667,7,0.06666666666666667,16,0.004166666666666667,1
