star_id,subtipo_rrlyrae,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,arquetipo_dominante,star_id_base,archivo_origen
OGLEIII_OGLE-LMC-RRLYR-03850,RRab,0.0,0.0,0.9999999899266934,0.0,0.0,0.0,3,OGLE-LMC-RRLYR-03850,datos\raw\periodos\OGLEIII\LMC\RRab.dat
OGLEIV_OGLE-BLG-RRLYR-00986,RRab,0.0,0.0,0.8868959971274779,0.11310399290642704,0.0,0.0,3,OGLE-BLG-RRLYR-00986,datos\raw\periodos\OGLEIV\BLG\RRab.dat
OGLEIV_OGLE-BLG-RRLYR-01801,RRab,0.0,0.4390110985618375,0.540450391344738,0.02053850044793119,0.0,0.0,3,OGLE-BLG-RRLYR-01801,datos\raw\periodos\OGLEIV\BLG\RRab.dat
OGLEIV_OGLE-BLG-RRLYR-30195,RRab,0.0,0.5289226841584375,0.0,0.0,0.2752444071923125,0.19583289991499167,2,OGLE-BLG-RRLYR-30195,datos\raw\periodos\OGLEIV\BLG\RRab.dat
OGLEIV_OGLE-BLG-RRLYR-24636,RRab,0.9999999903270184,0.0,0.0,0.0,0.0,0.0,1,OGLE-BLG-RRLYR-24636,datos\raw\periodos\OGLEIV\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-04328,RRab,0.0,0.0,0.04497223880281656,0.0,0.9550277511400604,0.0,5,OGLE-BLG-RRLYR-04328,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-LMC-RRLYR-01535,RRc,0.007684877287642061,0.0,0.0,0.0,0.0,0.9923151127138602,6,OGLE-LMC-RRLYR-01535,datos\raw\periodos\OGLEIII\LMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-1421,RRab,0.0,0.030449616619441622,0.7287091390590035,0.24084123397325713,0.0,0.0,3,OGLE-SMC-RRLYR-1421,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-BLG-RRLYR-17583,RRab,0.0,0.0,0.37775421973318807,0.0,0.6222457704250527,0.0,5,OGLE-BLG-RRLYR-17583,datos\raw\periodos\OGLEIV\BLG\RRab.dat
OGLEIV_OGLE-LMC-RRLYR-09953,RRd,0.0,0.0,0.12189375068239389,0.6165500417009883,0.26155619799085983,0.0,4,OGLE-LMC-RRLYR-09953,datos\raw\periodos\OGLEIV\LMC\RRd.dat
OGLEIII_OGLE-LMC-RRLYR-18192,RRc,0.0,0.0,0.0,0.0,0.6634060442340161,0.33659394615727867,5,OGLE-LMC-RRLYR-18192,datos\raw\periodos\OGLEIII\LMC\RRc.dat
OGLEIV_OGLE-LMC-RRLYR-19842,RRab,0.0,0.4812684272210183,0.5187315629548644,0.0,0.0,0.0,3,OGLE-LMC-RRLYR-19842,datos\raw\periodos\OGLEIV\LMC\RRab.dat
OGLEIV_OGLE-BLG-RRLYR-15343,RRab,0.0,0.0,0.0,0.0,0.9999999897884329,0.0,5,OGLE-BLG-RRLYR-15343,datos\raw\periodos\OGLEIV\BLG\RRab.dat
OGLEIV_OGLE-LMC-RRLYR-19399,RRc,0.0,0.0,0.24694493620275845,0.0,0.0,0.7530550540030521,6,OGLE-LMC-RRLYR-19399,datos\raw\periodos\OGLEIV\LMC\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-08406,RRab,0.9999999898752073,0.0,0.0,0.0,0.0,0.0,1,OGLE-BLG-RRLYR-08406,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-1116,RRc,0.0,0.0,0.0,0.0,0.9999999905669645,0.0,5,OGLE-SMC-RRLYR-1116,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIII_OGLE-LMC-RRLYR-21733,RRe,0.0,0.0,0.0,0.14197394688581072,0.0,0.8580260422707554,6,OGLE-LMC-RRLYR-21733,datos\raw\periodos\OGLEIII\LMC\RRe.dat
OGLEIV_OGLE-LMC-RRLYR-06890,RRab,0.6770486473898203,0.0,0.32295134244374213,0.0,0.0,0.0,1,OGLE-LMC-RRLYR-06890,datos\raw\periodos\OGLEIV\LMC\RRab.dat
OGLEIV_OGLE-LMC-RRLYR-36032,RRab,0.0,0.0,0.1049978433135822,0.0,0.8950021460542332,0.0,5,OGLE-LMC-RRLYR-36032,datos\raw\periodos\OGLEIV\LMC\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-03725,RRab,0.0,0.0,0.9999999897008874,0.0,0.0,0.0,3,OGLE-BLG-RRLYR-03725,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIV_OGLE-BLG-RRLYR-25774,RRab,0.9474034999237801,0.0,0.052596489782492796,0.0,0.0,0.0,1,OGLE-BLG-RRLYR-25774,datos\raw\periodos\OGLEIV\BLG\RRab.dat
OGLEIV_OGLE-BLG-RRLYR-19495,RRc,0.0,0.0,0.0,0.0,0.0,0.9999999903239383,6,OGLE-BLG-RRLYR-19495,datos\raw\periodos\OGLEIV\BLG\RRc.dat
