subtipo_rrlyrae,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6
RRab,0.470130481023949,0.055486017232651216,0.31485448677112493,0.03961082373410275,0.09256142147254524,0.027356759790538136
RRc,0.004753664207456711,8.50611783895757e-05,0.010666040436004085,0.027612522791118303,0.22838420500870685,0.7284984964675817
RRd,0.009238076664682597,0.006521664264595052,0.021018663873485978,0.4648824096804953,0.23475263739669308,0.2635865381235737
RRe,0.0,0.01094266840423491,0.0,0.30066582431039296,0.018774058143869277,0.6696174378114804
aRRd,0.0,0.0,0.0,0.34857784471711906,0.0,0.6514221447615074
