subtipo_rrlyrae,1,2,3,4,5,6
RRab,0.0563725831858037,0.292512929171836,0.009660286881246776,0.03737262500522743,0.41967185692181164,0.18440971883407448
RRc,0.00845691382765531,0.0005210420841683367,0.6467334669338677,0.32312625250501004,0.0006412825651302605,0.020521042084168335
RRd,0.3761496014714899,0.0015328019619865114,0.2268546903740037,0.35928877988963825,0.002145922746781116,0.034028203556100554
RRe,0.09622501850481126,0.0007401924500370096,0.7054034048852702,0.1835677276091784,0.0022205773501110288,0.011843079200592153
aRRd,0.6,0.0,0.26666666666666666,0.1111111111111111,0.022222222222222223,0.0
