arquetipo_dominante,n_estrellas,subtipo_mayoritario,pureza,pct_RRab,n_RRab,pct_RRc,n_RRc,pct_RRd,n_RRd,pct_RRe,n_RRe,pct_aRRd,n_aRRd
1,5639,RRab,0.7171484305727966,0.7171484305727966,4044,0.03741798191168647,211,0.21759177159070758,1227,0.02305373293137081,130,0.004788082993438553,27
2,21003,RRab,0.9990953673284769,0.9990953673284769,20984,0.0006189591963052897,13,0.00023806122934818836,5,4.761224586963767e-05,1,0.0,0
3,18534,RRc,0.8706161648861551,0.03739074134023956,693,0.8706161648861551,16136,0.03992662134455595,740,0.051419013704543,953,0.0006474587245063128,12
4,12168,RRc,0.6625575279421433,0.22033201840894148,2681,0.6625575279421433,8062,0.09631821170282709,1172,0.020381328073635765,248,0.000410913872452334,5
5,30133,RRab,0.9991039723890751,0.9991039723890751,30106,0.0005309793249925331,16,0.00023230345468423325,7,9.955862343609996e-05,3,3.318620781203332e-05,1
6,13868,RRab,0.9539226997404096,0.9539226997404096,13229,0.03691952696856071,512,0.008004038073262186,111,0.0011537352177675222,16,0.0,0
