subtipo_rrlyrae,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6
RRab,0.06550128843594154,0.2825022503878334,0.02531551513240047,0.04440677773027487,0.40121047314742436,0.18106368519710672
RRc,0.023390510412841906,0.0030215716996155723,0.6303194632202963,0.30237408895526313,0.004386331816448651,0.0365080239412406
RRd,0.3388898269540582,0.006631598323348892,0.2608621716110709,0.3207792896316179,0.021694196685648866,0.05114290663593271
RRe,0.1683802373988702,0.0036104488990735943,0.6258481433455518,0.16490556499114006,0.015200131126586641,0.02205546343151376
aRRd,0.562784127070267,0.002503791627695643,0.283162327911276,0.09350636752386937,0.04303045100385291,0.015012924007971577
