star_id,subtipo_rrlyrae,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,arquetipo_dominante,star_id_base,archivo_origen
OGLEIV_OGLE-SMC-RRLYR-5967,RRab,0.0,0.26727527676196866,0.0,0.0,0.7327247126626764,0.0,5,OGLE-SMC-RRLYR-5967,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5968,RRc,0.0,0.0,0.42993931347506004,0.5700606769059172,0.0,0.0,4,OGLE-SMC-RRLYR-5968,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-5971,RRd,0.5600784732252799,0.0,0.0,0.4399215161555563,0.0,0.0,1,OGLE-SMC-RRLYR-5971,datos\raw\periodos\OGLEIV\SMC\RRd.dat
OGLEIV_OGLE-SMC-RRLYR-5972,RRab,0.0,0.26911545567713474,0.0,0.0,0.7308845343848089,0.0,5,OGLE-SMC-RRLYR-5972,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5973,RRab,0.14827197954254262,0.5259582833922177,0.28868305165589037,0.0,0.0,0.03708667670237285,2,OGLE-SMC-RRLYR-5973,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5974,RRd,0.3973865771308137,0.0,0.2571300926259278,0.34548331859962245,0.0,0.0,1,OGLE-SMC-RRLYR-5974,datos\raw\periodos\OGLEIV\SMC\RRd.dat
OGLEIV_OGLE-SMC-RRLYR-5976,RRab,0.0,0.037065996561833486,0.030028620628097462,0.0,0.0,0.9329053733609605,6,OGLE-SMC-RRLYR-5976,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5977,RRab,0.0,0.7337124843890619,0.03323594496145757,0.0,0.23305156060432225,0.0,2,OGLE-SMC-RRLYR-5977,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5978,RRab,0.0,0.4685237496871584,0.0,0.15293329704621977,0.3785429439204363,0.0,2,OGLE-SMC-RRLYR-5978,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5979,RRab,0.0,0.8306341540281476,0.07498374826356814,0.0,0.0943820876287576,0.0,2,OGLE-SMC-RRLYR-5979,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5980,RRab,0.08146581785162295,0.014142340880338292,0.0,0.3857656168271106,0.4051129623728015,0.11351325216403912,5,OGLE-SMC-RRLYR-5980,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5982,RRc,0.0,0.0,0.37460431578580394,0.6253956743835634,0.0,0.0,4,OGLE-SMC-RRLYR-5982,datos\raw\periodos\OGLEIV\SMC\RRc.dat
